file_name,intervention,cycle,F_preload_start_N,M_peak_Nm,F_peak_N,F_eng_N,th_ramp@2.0,th_eng@2.0,th_ramp@3.0,th_eng@3.0,th_ramp@4.0,th_eng@4.0,th_ramp@5.0,th_eng@5.0
7 - SPO,SPO,5,12.162690000000001,1.9781817516733367,14.231523393333358,8.538914036000014,,,,,,,,
7 - SPO,SPO,6,21.030043385667977,0.4788850463787977,3.4452161609985446,2.067129696599127,,,,,,,,
7 - SPO,SPO,7,21.030043385667977,0.6924854893047193,4.981909994997981,2.9891459969987886,,,,,,,,
7 - SPO,SPO,8,22.246120014666,0.30668267747575,2.206350197667266,1.3238101186003597,,,,,,,,
7 - SPO,SPO,9,20.846291999668466,0.4744039420460833,3.4129780003315346,2.047786800198921,,,,,,,,
7 - SPO,SPO,10,7.795733052666138,2.9249121854583033,21.042533708333117,12.0,2.908408638866366,0.9028005172328588,,,,,,
7 - SPO,SPO,11,21.72538333333377,0.2940179045432838,2.115236723332977,1.269142033999786,,,,,,,,
7 - SPO,SPO,12,18.971196270000448,0.872953428573257,6.280240493332784,3.76814429599967,,,,,,,,
7 - SPO,SPO,13,18.971196270000448,0.872953428573257,4.4071742833326795,2.6443045699996075,,,,,,,,
7 - SPO,SPO,14,3.8722143696681033,11.698002422497092,84.1582908093316,12.0,1.22136923913932,0.3851713207633724,1.7863729063462213,0.9501749879702736,1.9742201892907054,1.1380222709147578,2.0995478870227875,1.2633499686468401
7 - SPO,SPO,15,2.8946340550003544,13.107635341740345,94.29953483266435,12.0,-0.1293101165528156,-0.3164790693493885,1.1317253517490384,0.9445563989524653,1.8882847921782409,1.7011158393816679,2.919901620068428,2.732732667271855
7 - SPO,SPO,16,2.6663934563333562,12.760563805672975,91.80261730699982,12.0,0.5151894252499106,0.3170431323495079,1.0825155776673536,0.8843692847669509,1.3512423753806788,1.153096082480276,2.213022316081483,2.0148760231810803
